,Price,Currency,Brokered_by,AD_Situation,Rooms,Bath,Building space,Measruing unit,Address,City,State
662,464900,USD,"VAN DORM REALTY, INC",New - 7 hours ago,2,2.0,1191,sqft,"32526 Benbow Dr E, Graham, WA 98338",Graham, WA 98338
663,356950,USD,The Force Realty,New - 7 hours ago,3,2.5,1424,sqft,"13502 215th Ave E, Bonney Lake, WA 98391",Bonney Lake, WA 98391
664,439900,USD,Next Home South Sound,New - 7 hours ago,5,2.5,2639,sqft,"1181 Hudson St, DuPont, WA 98327",DuPont, WA 98327
665,389950,USD,eXp Realty Washington,New - 7 hours ago,4,2.5,2372,sqft,"9803 198th St E, Graham, WA 98338",Graham, WA 98338
666,749000,USD,"Hawkins Poe, Inc",New - 7 hours ago,4,3.5,3066,sqft,"11022 63rd Ave NW, Gig Harbor, WA 98332",Gig Harbor, WA 98332
667,399800,USD,Compass Washington,New - 7 hours ago,3,2.5,2180,sqft,"4322 25th St SE, Puyallup, WA 98374",Puyallup, WA 98374
668,880000,USD,Windermere Professional Partners,New - 7 hours ago,2,2.0,2500,sqft,"1 N Stadium Way Apt 8, Tacoma, WA 98403",Tacoma, WA 98403
669,485000,USD,Windermere Bellevue Commons,New - 7 hours ago,4,3.0,2306,sqft,"6336 Perry Ave SE, Auburn, WA 98092",Auburn, WA 98092
670,419950,USD,HomeSmart Real Estate Assoc,New - 7 hours ago,4,2.5,2408,sqft,"20509 79th Ave E, Spanaway, WA 98387",Spanaway, WA 98387
671,379950,USD,Keller Williams Tacoma,New - 7 hours ago,3,2.5,1500,sqft,"6220 E Portland Ave, Tacoma, WA 98404",Tacoma, WA 98404
672,379950,USD,Keller Williams Tacoma,New - 7 hours ago,3,2.5,1500,sqft,"1206 E 58th St, Tacoma, WA 98404",Tacoma, WA 98404
673,30000,USD,Keller Williams Realty,New - 7 hours ago,3,2.0,1304,sqft,"5813 79th Street Ct E Unit 68, Puyallup, WA 98371",Puyallup, WA 98371
674,89900,USD,Windermere Chambers Bay,New,3,2.0,1392,sqft,"5920 106th Ave E, Puyallup, WA 98372",Puyallup, WA 98372
675,350000,USD,KELLER WILLIAMS West Sound,New - 7 hours ago,3,2.0,1810,sqft,"1668 S 56th St, Tacoma, WA 98408",Tacoma, WA 98408
676,485000,USD,Better Properties Soundview,New - 7 hours ago,5,2.5,2721,sqft,"35119 10th Avenue Ct E, Roy, WA 98580",Roy, WA 98580
677,319400,USD,Coldwell Banker Bain of Tacoma North,New - 7 hours ago,4,1.0,1244,sqft,"838 S 78th St, Tacoma, WA 98408",Tacoma, WA 98408
678,250000,USD,KELLER WILLIAMS West Sound,New - 7 hours ago,2,2.0,1370,sqft,"4025 Tacoma Ave S, Tacoma, WA 98418",Tacoma, WA 98418
679,485000,USD,BETTER PROPERTIES REAL ESTATE,New - 7 hours ago,3,2.0,1452,sqft,"1219 Union Ave, Steilacoom, WA 98388",Steilacoom, WA 98388
680,899900,USD,Windermere R. E. Enumclaw,New - 7 hours ago,3,3.0,3626,sqft,"12119 275th Ave E, Buckley, WA 98321",Buckley, WA 98321
681,399950,USD,Windermere Professional Partners,New - 7 hours ago,3,2.0,2320,sqft,"3565 Tacoma Ave S, Tacoma, WA 98418",Tacoma, WA 98418
682,339000,USD,Windermere Abode,New - 7 hours ago,3,1.0,1772,sqft,"1116 N Steele St, Tacoma, WA 98406",Tacoma, WA 98406
683,690000,USD,GATEWAY REAL ESTATE,New - 7 hours ago,3,2.5,2702,sqft,"7013 Phillips Rd SW, Lakewood, WA 98498",Lakewood, WA 98498
684,450000,USD,Century 21 Northwest Realty,New - 7 hours ago,3,2.0,2071,sqft,"1603 12th Ave, Milton, WA 98354",Milton, WA 98354
685,459000,USD,Keller Williams Realty Puget Sound,New - 7 hours ago,3,2.5,2446,sqft,"1512 Hardtke Ave NE, Orting, WA 98360",Orting, WA 98360
686,329990,USD,Coldwell Banker Bain of Bellevue,New - 7 hours ago,2,1.0,905,sqft,"2601 S Melrose St, Tacoma, WA 98405",Tacoma, WA 98405
687,354950,USD,Keller Williams Realty,New - 7 hours ago,4,2.0,1570,sqft,"124 Tule Lake Rd E, Tacoma, WA 98445",Tacoma, WA 98445
688,359900,USD,RE/MAX INTEGRITY,New - 7 hours ago,3,1.5,1650,sqft,"338 N Cascade St, Buckley, WA 98321",Buckley, WA 98321
689,259950,USD,RSVP Real Estate - Sumner,New - 7 hours ago,2,2.0,1220,sqft,"12431 129th Ave E, Puyallup, WA 98374",Puyallup, WA 98374
690,279950,USD,ALLEN Realtors,New - 7 hours ago,2,2.0,1222,sqft,"8505 Onyx Dr SW, Lakewood, WA 98498",Lakewood, WA 98498
691,375000,USD,Better Properties Soundview,New - 7 hours ago,3,1.0,1060,sqft,"6405 Madrona Dr NE, Tacoma, WA 98422",Tacoma, WA 98422
692,1100000,USD,Windermere Real Estate JS,New - 7 hours ago,3,2.0,2134,sqft,"14514 94th Ave E, Puyallup, WA 98375",Puyallup, WA 98375
693,699999,USD,Keller Williams Realty,New - 7 hours ago,4,3.0,3262,sqft,"13911 126th Avenue Ct E, Puyallup, WA 98374",Puyallup, WA 98374
694,410000,USD,Windermere Professional Partners,New - 7 hours ago,3,2.0,1969,sqft,"7016 Pleasant St SW, Lakewood, WA 98499",Lakewood, WA 98499
695,599000,USD,"RE/MAX Northwest Realtors - Tacoma, WA",New - 7 hours ago,5,3.0,3186,sqft,"3805 S 10th St, Tacoma, WA 98405",Tacoma, WA 98405
696,324900,USD,John L. Scott - Woodinville,New,3,2.5,1620,sqft,"23305 48th Avenue Ct E, Spanaway, WA 98387",Spanaway, WA 98387
697,749900,USD,KELLER WILLIAMS West Sound,New - 7 hours ago,3,3.5,3790,sqft,"2709 52nd Ave NW, Gig Harbor, WA 98335",Gig Harbor, WA 98335
698,445000,USD,"DOVE REALTY, INC.",New - 7 hours ago,4,2.0,2351,sqft,"822 S Winnifred St, Tacoma, WA 98465",Tacoma, WA 98465
